               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11008,            0.060947,            0.026699,            0.051175,            0.060175,             0.02156,           0.0044593,             0.08816,            0.068547,            0.020158,            0.070423,           0.0032864,           0.0032864
                   1,            0.083798,            0.061306,            0.019146,            0.091097,             0.46679,            0.084634,             0.02818,            0.079835,            0.060585,            0.015069,            0.040335,           0.0065323,           0.0065323
                   2,             0.07763,            0.056786,            0.015777,             0.17552,             0.41415,             0.15817,            0.060071,            0.069692,             0.05699,            0.010243,             0.01016,           0.0096903,           0.0096903
                   3,            0.072341,            0.055179,            0.011736,             0.19076,             0.59549,             0.32281,            0.099599,            0.064666,            0.057202,           0.0086417,            0.009604,            0.009604,            0.009604
                   4,            0.064934,             0.05291,           0.0090155,             0.19046,             0.59054,             0.27446,             0.09232,            0.064363,            0.055845,           0.0057635,            0.009604,            0.009604,            0.009604
                   5,            0.060166,             0.05257,           0.0074904,             0.48406,             0.63653,             0.56723,             0.24132,            0.051235,            0.057433,           0.0053196,            0.009472,            0.009472,            0.009472
                   6,            0.056835,            0.055928,           0.0064008,             0.28942,             0.62837,             0.41583,             0.18191,            0.053319,            0.056643,           0.0050742,             0.00934,             0.00934,             0.00934
                   7,            0.053047,            0.056667,            0.005801,             0.43498,             0.68099,             0.53415,             0.26174,            0.044147,            0.059871,            0.006471,            0.009208,            0.009208,            0.009208
                   8,            0.051281,            0.055933,            0.005596,             0.35547,             0.69616,             0.53061,             0.25487,            0.043681,            0.060207,           0.0056148,            0.009076,            0.009076,            0.009076
                   9,            0.050502,            0.054803,           0.0052378,             0.52463,             0.69021,             0.58642,             0.27566,            0.044031,            0.059818,           0.0040289,            0.008944,            0.008944,            0.008944
                  10,            0.048914,            0.055687,           0.0050997,             0.55733,             0.72095,             0.58929,             0.27089,            0.045678,            0.059781,           0.0038798,            0.008812,            0.008812,            0.008812
                  11,            0.046599,            0.057567,           0.0051192,             0.57287,             0.76726,              0.6129,             0.33248,            0.043038,            0.063965,           0.0037433,             0.00868,             0.00868,             0.00868
                  12,            0.045842,            0.054153,           0.0045021,             0.45047,             0.68354,              0.5652,             0.26558,            0.042925,            0.059781,           0.0041078,            0.008548,            0.008548,            0.008548
                  13,             0.04624,            0.054929,           0.0045716,             0.55032,             0.72741,             0.61559,             0.33726,            0.039912,             0.05948,           0.0038261,            0.008416,            0.008416,            0.008416
                  14,            0.044856,             0.05241,           0.0039765,             0.53374,              0.7253,             0.59671,             0.31507,            0.042954,            0.058617,           0.0038578,            0.008284,            0.008284,            0.008284
                  15,            0.044956,            0.055733,           0.0042139,             0.53437,             0.72897,             0.59159,             0.31774,            0.039384,            0.059578,           0.0039809,            0.008152,            0.008152,            0.008152
                  16,            0.044431,            0.053524,           0.0040093,              0.5567,             0.73932,             0.61318,             0.34733,            0.039408,            0.058764,           0.0040556,             0.00802,             0.00802,             0.00802
                  17,            0.044002,            0.053338,            0.003885,             0.59131,             0.70553,             0.63053,             0.37606,            0.036804,            0.065094,           0.0036301,            0.007888,            0.007888,            0.007888
                  18,            0.041994,            0.054142,            0.003558,             0.56839,             0.72735,             0.61454,             0.32535,            0.038718,            0.059966,           0.0036626,            0.007756,            0.007756,            0.007756
                  19,            0.041899,            0.052461,           0.0033499,             0.54756,             0.69119,             0.61356,             0.36399,            0.038968,            0.061585,           0.0038247,            0.007624,            0.007624,            0.007624
                  20,            0.040907,            0.052608,           0.0036441,             0.56703,             0.70334,             0.61821,              0.3606,            0.038609,             0.06084,           0.0035003,            0.007492,            0.007492,            0.007492
                  21,            0.040462,            0.052505,           0.0037746,             0.55936,             0.75079,             0.59703,             0.35487,             0.03739,             0.06176,           0.0035835,             0.00736,             0.00736,             0.00736
                  22,            0.040073,            0.052808,           0.0033109,             0.58324,             0.66885,             0.60612,              0.3544,            0.038606,            0.065241,           0.0034501,            0.007228,            0.007228,            0.007228
                  23,            0.040149,            0.053808,           0.0030647,             0.59427,             0.67218,             0.62818,             0.37717,            0.038979,            0.062983,           0.0034236,            0.007096,            0.007096,            0.007096
                  24,            0.039514,            0.051774,            0.003314,             0.56431,             0.69355,             0.61292,             0.36609,            0.037076,            0.061883,           0.0032057,            0.006964,            0.006964,            0.006964
